
,right,left,jump,jumpUp,leftUp,rightUp
1,0.9261391994077712,0.014209836721420288,0.05965096387080848,0.8926428104750812,0.02939503500238061,0.07796215452253819
2,0.6961701686959714,0.057839965214952826,0.2459898660890758,0.7954607789870352,0.01876463764347136,0.18577458336949348
3,0.9446618473157287,0.030860351398587227,0.02447780128568411,0.9996533242519945,0.0001448076218366623,0.00020186812616884708
4,0.6929932867642492,0.13568986929021776,0.17131684394553304,0.21459510829299688,0.44065577699802816,0.34474911470897496

,right,left,jump,jumpUp,leftUp,rightUp
1,0.6961701686959714,0.057839965214952826,0.2459898660890758,0.9996533242519945,0.0001448076218366623,0.00020186812616884708
2,0.9446618473157287,0.030860351398587227,0.02447780128568411,0.7954607789870352,0.01876463764347136,0.18577458336949348
3,0.9446618473157287,0.030860351398587227,0.02447780128568411,0.8926428104750812,0.02939503500238061,0.07796215452253819
4,0.9261391994077712,0.014209836721420288,0.05965096387080848,0.9996533242519945,0.0001448076218366623,0.00020186812616884708

,right,left,jump,jumpUp,leftUp,rightUp
1,0.9446618473157287,0.030860351398587227,0.02447780128568411,0.8926428104750812,0.02939503500238061,0.07796215452253819
2,0.9446618473157287,0.030860351398587227,0.02447780128568411,0.8926428104750812,0.02939503500238061,0.07796215452253819
3,0.9446618473157287,0.030860351398587227,0.02447780128568411,0.9996533242519945,0.0001448076218366623,0.00020186812616884708
4,0.9261391994077712,0.014209836721420288,0.05965096387080848,0.8926428104750812,0.02939503500238061,0.07796215452253819
