
,right,left,jump,jumpUp,leftUp,rightUp
1,0.3962361761368811,0.18849138752557337,0.4152724363375455,0.14269243949092925,0.4041076593566686,0.45319990115240216
2,0.951624344335869,0.046435323311015964,0.0019403323531150818,0.762411690549925,0.04735609726049006,0.19023221218958497
3,0.04907343117520213,0.22280964604578912,0.7281169227790087,0.6328195922542363,0.2629526520613581,0.10422775568440557
4,0.7498778710141778,0.12932509509846568,0.12079703388735652,0.8357554271351546,0.0606535233091563,0.1035910495556891
5,0.7161855197045952,0.17338700057007372,0.11042747972533107,0.33583107800222933,0.153748229611665,0.5104206923861057
6,0.4074822517577559,0.5747486839536577,0.017769064288586378,0.30493121850304306,0.22909030690789223,0.4659784745890647
7,0.5098738954402506,0.25380549347028136,0.236320611089468,0.08137158374302089,0.6898453391622752,0.2287830770947039
8,0.8702324868645519,0.04547869763337076,0.08428881550207734,0.9983691663946956,0.000599799444898963,0.0010310341604053974

,right,left,jump,jumpUp,leftUp,rightUp
1,0.5331079021561891,0.4463167830836028,0.02057531476020813,0.5901748037431389,0.20669488026760519,0.2031303159892559
2,0.8577788346447051,0.07327441987581551,0.06894674547947943,0.41260974830947816,0.4162182828877121,0.17117196880280972
3,0.6314889302011579,0.12915120273828506,0.239359867060557,0.2322180694900453,0.689443745650351,0.07833818485960364
4,0.7326115416362882,0.06659609824419022,0.20079236011952162,0.9693116487469524,0.02589946216903627,0.004788889084011316
5,0.2780782519839704,0.12174164550378919,0.6001801025122404,0.5315024484880269,0.31728992401622236,0.15120762749575078
6,0.9946466360706836,0.00446648895740509,0.0008868749719113111,0.15551020042039454,0.6586868017911911,0.18580299778841436
7,0.9749619564972818,0.020907229278236628,0.004130814224481583,0.09124224097467959,0.18751084711402655,0.7212469119112939
8,0.3067916955333203,0.13965940196067095,0.5535489025060087,0.9395294662099332,0.03129830351099372,0.02917223027907312

,right,left,jump,jumpUp,leftUp,rightUp
1,0.11771427444182336,0.8716164226643741,0.010669302893802524,0.3653680451679975,0.08169049979187548,0.552941455040127
2,0.6701265210285783,0.06932504358701408,0.26054843538440764,0.8324489227961749,0.05309150810353458,0.11445956910029054
3,0.7749537089839578,0.0553388528060168,0.16970743821002543,0.9525609610136598,0.011341456091031432,0.03609758289530873
4,0.2946417354978621,0.6567909552250057,0.048567309277132154,0.09104201290756464,0.6462415708228946,0.2627164162695408
5,0.8549875339958817,0.13919737073592842,0.005815095268189907,0.7109882361255586,0.01012693764641881,0.2788848262280226
6,0.7751295713242143,0.12739561405032873,0.09747481462545693,0.8011171042453498,0.038774736458435655,0.16010815929621458
7,0.35081161209382117,0.027931766118854284,0.6212566217873245,0.3891111914999783,0.0690224498976022,0.5418663586024195
8,0.25290345307439566,0.6472911287564784,0.09980541816912591,0.3722093254327774,0.16541028558276594,0.46238038898445666

,right,left,jump,jumpUp,leftUp,rightUp
1,0.5816783623304218,0.32614511949941516,0.09217651817016304,0.9026368230115622,0.08378782006911933,0.013575356919318438
2,0.88847511052154,0.0361154000274837,0.07540948945097625,0.9572178213857114,0.015876442193984985,0.026905736420303583
3,0.27274276386015117,0.5216734695713967,0.20558376656845212,0.7968448509927839,0.158816943410784,0.04433820559643209
4,0.663200301816687,0.02316846768371761,0.3136312304995954,0.8434362467378378,0.025250533130019903,0.1313132201321423
5,0.03226638282649219,0.23155247885733843,0.7361811383161694,0.9518721709027886,0.02863950002938509,0.01948832906782627
6,0.5542583703063428,0.390326407039538,0.055415222654119134,0.6610504942946136,0.15068702888675034,0.18826247681863606
7,0.18583251861855388,0.07096202857792377,0.7432054528035223,0.3736320969182998,0.5627489851322025,0.0636189179494977
8,0.5822880868799984,0.1568825168069452,0.26082939631305635,0.47157946950756013,0.4267211426049471,0.10169938788749278

,right,left,jump,jumpUp,leftUp,rightUp
1,0.9714944749139249,0.014884422766044736,0.013621102320030332,0.5793259493075311,0.11851171357557178,0.3021623371168971
2,0.8644952038303018,0.08915927005000412,0.046345526119694114,0.9506235565058887,0.0344605534337461,0.0149158900603652
3,0.7239617279265076,0.17840290465392172,0.09763536741957068,0.9625452123582363,0.010970878880470991,0.026483908761292696
4,0.2954553426243365,0.13139695930294693,0.5731476980727166,0.546643934212625,0.004830427933484316,0.44852563785389066
5,0.03317021648399532,0.4673961263615638,0.4994336571544409,0.4367808923125267,0.07371985539793968,0.4894992522895336
6,0.2136846266221255,0.15900574834086,0.6273096250370145,0.019279185216873884,0.5715152975171804,0.4092055172659457
7,0.5042602338362485,0.32390926452353597,0.17183050164021552,0.43895345949567854,0.1387637339066714,0.42228280659765005
8,0.631209374871105,0.3202315582893789,0.04855906683951616,0.1991980909369886,0.3263515990693122,0.4744503099936992

,right,left,jump,jumpUp,leftUp,rightUp
1,0.2954553426243365,0.13139695930294693,0.5731476980727166,0.5651129646537666,0.12251577601671416,0.31237125932951926
2,0.9714944749139249,0.014884422766044736,0.013621102320030332,0.5609916129451422,0.004677555978391265,0.4343308310764665
3,0.5042602338362485,0.32390926452353597,0.17183050164021552,0.43895345949567854,0.1387637339066714,0.42228280659765005
4,0.2954553426243365,0.13139695930294693,0.5731476980727166,0.546643934212625,0.004830427933484316,0.44852563785389066
5,0.2136846266221255,0.15900574834086,0.6273096250370145,0.03182904913437452,0.9435455015909971,0.02462544927462834
6,0.8644952038303018,0.08915927005000412,0.046345526119694114,0.6817977685246914,0.024715491502874873,0.2934867399724337
7,0.5531407664224739,0.4115998557929738,0.03525937778455225,0.5793259493075311,0.11851171357557178,0.3021623371168971
8,0.6020334539395555,0.009223851168615663,0.3887426948918288,0.019279185216873884,0.5715152975171804,0.4092055172659457

,right,left,jump,jumpUp,leftUp,rightUp
1,0.5840205809284897,0.3751429602053164,0.04083645886619392,0.5793259493075311,0.11851171357557178,0.3021623371168971
2,0.48667501295125193,0.362141750000367,0.15118323704838096,0.43895345949567854,0.1387637339066714,0.42228280659765005
3,0.9714944749139249,0.014884422766044736,0.013621102320030332,0.6817977685246914,0.024715491502874873,0.2934867399724337
4,0.8644952038303018,0.08915927005000412,0.046345526119694114,0.5609916129451422,0.004677555978391265,0.4343308310764665
5,0.2136846266221255,0.15900574834086,0.6273096250370145,0.546643934212625,0.004830427933484316,0.44852563785389066
6,0.2954553426243365,0.13139695930294693,0.5731476980727166,0.03182904913437452,0.9435455015909971,0.02462544927462834
7,0.4607711155772697,0.1005657129604605,0.4386631714622698,0.5651129646537666,0.12251577601671416,0.31237125932951926
