
,right,left,jump,jumpUp,leftUp,rightUp
1,0.3158369567245245,0.3755848570726812,0.3085781862027943,0.7628088213969022,0.20997120160609484,0.02721997699700296
2,0.6190501218661666,0.16784678562544286,0.21310309250839055,0.48710183915682137,0.4701906351838261,0.04270752565935254
3,0.7033985061571002,0.0636707793455571,0.2329307144973427,0.7693205515388399,0.18009179481305182,0.050587653648108244
4,0.008270773803815246,0.033332971623167396,0.9583962545730174,0.8141899015754461,0.010577070759609342,0.17523302766494453
5,0.18224136088974774,0.41548880538903177,0.4022698337212205,0.9180275448597968,0.06636371579952538,0.015608739340677857
6,0.792959513142705,0.07119458704255521,0.13584589981473982,0.37672497634775937,0.303446055855602,0.3198289677966386
7,0.9188548028469086,0.019306542119011283,0.06183865503408015,0.07958623138256371,0.10664510494098067,0.8137686636764556
8,0.5416825166903436,0.38326795515604317,0.07504952815361321,0.10282218200154603,0.33409690554253757,0.5630809124559164
9,0.6510364138521254,0.21917209890671074,0.12979148724116385,0.34029697231017053,0.4436268445570022,0.21607618313282728
10,0.6725419550202787,0.15763578191399574,0.16982226306572556,0.4379479009658098,0.0016416986472904682,0.5604104003868997
11,0.6114285688381642,0.2951412077527493,0.09343022340908647,0.6741911720018834,0.2202193394768983,0.1055894885212183
12,0.3898222397547215,0.2970539352390915,0.31312382500618696,0.8164669368416071,0.08191319392062724,0.10161986923776567
13,0.9085250208154321,0.0010308320634067059,0.09044414712116122,0.5084433590527624,0.4231449621729553,0.06841167877428234
14,0.1892416886985302,0.0217180997133255,0.7890402115881443,0.26148080499842763,0.402804380049929,0.33571481495164335
15,0.37854218878783286,0.35477788490243256,0.2666799263097346,0.7434576898813248,0.10958801303058863,0.1469542970880866
16,0.834084543865174,0.09740122500807047,0.06851423112675548,0.7749545704573393,0.05396088771522045,0.17108454182744026

,right,left,jump,jumpUp,leftUp,rightUp
1,0.477542772225624,0.17965629400993802,0.342800933764438,0.2657017016191745,0.40930656152586953,0.32499173685495597
2,0.4944507699897475,0.013542344783037301,0.4920068852272152,0.3708339646652035,0.2987009384030743,0.33046509693172216
3,0.1892416886985302,0.0217180997133255,0.7890402115881443,0.26148080499842763,0.402804380049929,0.33571481495164335
4,0.1892416886985302,0.0217180997133255,0.7890402115881443,0.26148080499842763,0.402804380049929,0.33571481495164335
5,0.1892416886985302,0.0217180997133255,0.7890402115881443,0.26148080499842763,0.402804380049929,0.33571481495164335
6,0.1892416886985302,0.0217180997133255,0.7890402115881443,0.26148080499842763,0.402804380049929,0.33571481495164335
7,0.3158369567245245,0.3755848570726812,0.3085781862027943,0.5298751576396599,0.4235962325880152,0.046528609772324904
8,0.1892416886985302,0.0217180997133255,0.7890402115881443,0.5080893802453638,0.2682987166363642,0.22361190311827212
9,0.36331972454458883,0.3405110638526711,0.2961692116027401,0.7628088213969022,0.20997120160609484,0.02721997699700296
10,0.32964866204007914,0.39200936742976755,0.2783419705301533,0.7434576898813248,0.10958801303058863,0.1469542970880866
11,0.36331972454458883,0.3405110638526711,0.2961692116027401,0.7581283309186161,0.21411456062821144,0.027757108453172447
12,0.32964866204007914,0.39200936742976755,0.2783419705301533,0.7483278311201298,0.10750761895722086,0.14416454992264938
13,0.9352791408790601,0.001061187864466612,0.06365967125647339,0.3558391872823541,0.07463664692275374,0.5695241657948922
14,0.8933014745843093,0.018769627682852,0.08792889773283874,0.13934557400307948,0.7408741011629294,0.11978032483399115
15,0.5456706597467446,0.06262325114787434,0.3917060891053811,0.37672497634775937,0.303446055855602,0.3198289677966386
16,0.479652940671013,0.043064863298606315,0.4772821960303807,0.26148080499842763,0.402804380049929,0.33571481495164335

,right,left,jump,jumpUp,leftUp,rightUp
1,0.1892416886985302,0.0217180997133255,0.7890402115881443,0.26148080499842763,0.402804380049929,0.33571481495164335
2,0.4944507699897475,0.013542344783037301,0.4920068852272152,0.3708339646652035,0.2987009384030743,0.33046509693172216
3,0.1892416886985302,0.0217180997133255,0.7890402115881443,0.15873239127829844,0.45884559247848633,0.38242201624321526
4,0.8933014745843093,0.018769627682852,0.08792889773283874,0.23302076057846505,0.6602360220931346,0.10674321732840031
5,0.1892416886985302,0.0217180997133255,0.7890402115881443,0.26148080499842763,0.402804380049929,0.33571481495164335
6,0.1892416886985302,0.0217180997133255,0.7890402115881443,0.26148080499842763,0.402804380049929,0.33571481495164335
7,0.5456706597467446,0.06262325114787434,0.3917060891053811,0.2657017016191745,0.40930656152586953,0.32499173685495597
8,0.1892416886985302,0.0217180997133255,0.7890402115881443,0.3708339646652035,0.2987009384030743,0.33046509693172216
9,0.31400763799360404,0.036036717065841085,0.6499556449405549,0.29554007617808997,0.34297152505724027,0.36148839876466976
10,0.3905083622929101,0.044816232667821955,0.5646754050392678,0.3377959607643235,0.3611804395826403,0.3010235996530362
11,0.5456706597467446,0.06262325114787434,0.3917060891053811,0.37672497634775937,0.303446055855602,0.3198289677966386
12,0.5456706597467446,0.06262325114787434,0.3917060891053811,0.37672497634775937,0.303446055855602,0.3198289677966386
13,0.21820946968814597,0.25948886202133303,0.5223016682905209,0.26148080499842763,0.402804380049929,0.33571481495164335
14,0.38675865197729387,0.044385901575921954,0.5688554464467842,0.7483278311201298,0.10750761895722086,0.14416454992264938
15,0.477542772225624,0.17965629400993802,0.342800933764438,0.6337318782981487,0.09104432904912779,0.27522379265272356
16,0.32964866204007914,0.39200936742976755,0.2783419705301533,0.3243536618655066,0.49965838098687726,0.17598795714761611

,right,left,jump,jumpUp,leftUp,rightUp
1,0.38675865197729387,0.044385901575921954,0.5688554464467842,0.2790238303462943,0.5331809932603844,0.18779517639332124
2,0.21820946968814597,0.25948886202133303,0.5223016682905209,0.30516694425857344,0.37897701258195077,0.3158560431594757
3,0.3627571756136921,0.03347579453724694,0.6037670298490609,0.32410079497744987,0.32906652783581736,0.3468326771867328
4,0.3400193657492092,0.04852871447443007,0.6114519197763606,0.30857937044114353,0.3771158013605778,0.31430482819827865
5,0.4944507699897475,0.013542344783037301,0.4920068852272152,0.3708339646652035,0.2987009384030743,0.33046509693172216
6,0.4944507699897475,0.013542344783037301,0.4920068852272152,0.3708339646652035,0.2987009384030743,0.33046509693172216
7,0.2940494214084761,0.09730588906382528,0.6086446895276986,0.2625891667249015,0.41104152531104154,0.32636930796405694
8,0.40228472805698323,0.016011232564977062,0.5817040393780396,0.2645849160411558,0.401111330590098,0.33430375336874624
9,0.24033637764786872,0.2858015888462731,0.4738620335058581,0.29554007617808997,0.34297152505724027,0.36148839876466976
10,0.49970475996430835,0.057348028749716624,0.4429472112859749,0.3243536618655066,0.49965838098687726,0.17598795714761611
11,0.7450942655977916,0.08550986660163722,0.16939586780057123,0.4938456671047083,0.43571104162876056,0.07044329126653098
12,0.6032044434344587,0.012674246200226318,0.38412131036531494,0.4807595622219526,0.22180562666215314,0.29743481111589415
13,0.4944507699897475,0.013542344783037301,0.4920068852272152,0.3745186824143212,0.2969515930989747,0.3285297244867041
14,0.5456706597467446,0.06262325114787434,0.3917060891053811,0.3730314975753814,0.30524425331793104,0.3217242491066876
15,0.35101109187714086,0.04772048721568777,0.6012684209071714,0.3377959607643235,0.3611804395826403,0.3010235996530362
16,0.3681055677766264,0.3695204628249535,0.26237396939842,0.3243536618655066,0.49965838098687726,0.17598795714761611

,right,left,jump,jumpUp,leftUp,rightUp
1,0.3874273382885343,0.2033227274184048,0.40924993429306084,0.3051669442585735,0.3789770125819508,0.31585604315947574
2,0.3014947796538781,0.01871113229959185,0.6797940880465301,0.3708339646652035,0.2987009384030743,0.33046509693172216
3,0.4170368742678734,0.05669679188923226,0.5262663338428943,0.3243536618655066,0.49965838098687726,0.17598795714761611
4,0.431404308074205,0.04950960776110717,0.5190860841646878,0.3377959607643235,0.3611804395826403,0.3010235996530362
5,0.6032044434344588,0.01267424620022632,0.384121310365315,0.3409426335262169,0.346166409784579,0.31289095668920397
6,0.3627571756136921,0.03347579453724694,0.6037670298490609,0.4581289687790345,0.21136466333082898,0.33050636789013654
7,0.42388902044432775,0.06603866352242142,0.5100723160332508,0.3243536618655066,0.49965838098687726,0.17598795714761611
8,0.441591654902339,0.32654712496795996,0.2318612201297011,0.3243536618655066,0.49965838098687726,0.17598795714761611
9,0.4447459034951554,0.012180995018168774,0.5430731014866756,0.35654255976941296,0.3132720146633964,0.3301854255671907
10,0.40840002102726397,0.03768778707075145,0.5539121919019846,0.3413088670158617,0.3127181832621486,0.3459729497219898
11,0.5548771026472904,0.011923680996710583,0.43319921635599906,0.2645849160411558,0.401111330590098,0.33430375336874624
12,0.6121280679449349,0.13011428419344562,0.25775764786161953,0.4938456671047084,0.4357110416287607,0.070443291266531
13,0.21820946968814597,0.25948886202133303,0.5223016682905209,0.37633181640730506,0.30312937169410076,0.3205388118985943
14,0.4944507699897475,0.013542344783037301,0.4920068852272152,0.3007729362595217,0.37352023537828727,0.3257068283621911
15,0.36191875631915676,0.04691844105581766,0.5911628026250255,0.3287731285290939,0.36610168789873654,0.3051251835721697
16,0.3571157993016281,0.3759470811430351,0.26693711955533683,0.33331543505867556,0.4930309121000717,0.1736536528412526

,right,left,jump,jumpUp,leftUp,rightUp
1,0.441591654902339,0.32654712496795996,0.2318612201297011,0.4215435003524935,0.3703843426408662,0.2080721570066403
2,0.4447459034951555,0.012180995018168777,0.5430731014866758,0.281020943764189,0.4329054556592054,0.2860736005766056
3,0.5315954567459279,0.11299622735353207,0.35540831590054,0.41545764857493195,0.31882207134535073,0.26572028007971743
4,0.45659848707695994,0.23962389989749516,0.30377761302554496,0.37613575885635164,0.5370388450272691,0.08682539611637917
5,0.4944507699897475,0.013542344783037301,0.4920068852272152,0.4139275455192596,0.3130741535880056,0.2729983008927348
6,0.6121280679449349,0.13011428419344562,0.25775764786161953,0.3727385946128148,0.5399632138905535,0.08729819149663173
7,0.39346030956234596,0.3546934672989757,0.2518462231386783,0.325112573545988,0.5008274646944587,0.1740599617595534
8,0.3798785291232919,0.060310672199354425,0.5598107986773537,0.33253918740148963,0.4918827081761504,0.17557810442235985
9,0.4139680955729568,0.015698265633695134,0.5703336387933481,0.32281037869755597,0.36174804989885745,0.3154415714035867
10,0.4347450687202479,0.3305508850357223,0.23470404624403,0.310890076190624,0.5096150595639628,0.17949486424541328
11,0.3371264438474,0.03111055087529552,0.6317630052773044,0.45814787698101295,0.21137338691309018,0.3304787361058968
12,0.32630260694183055,0.02025073619914591,0.6534466568590236,0.3708186606236817,0.2986886112378211,0.3304927281384973
13,0.42010231558020794,0.06544872390068222,0.5144489605191097,0.3287731285290939,0.36610168789873654,0.3051251835721697
14,0.4353282560351689,0.049959935031341336,0.5147118089334898,0.33331543505867556,0.4930309121000717,0.1736536528412526
15,0.3454763116339433,0.25547198425556483,0.3990517041104918,0.3243536618655066,0.49965838098687726,0.17598795714761611
16,0.5872756120779669,0.0914930433920842,0.32123134452994895,0.3243536618655066,0.49965838098687726,0.17598795714761611

,right,left,jump,jumpUp,leftUp,rightUp
1,0.4447459034951555,0.012180995018168777,0.5430731014866758,0.34026375251756125,0.39723468765077236,0.26250155983166645
2,0.32630260694183055,0.02025073619914591,0.6534466568590236,0.30874559311647864,0.3281562975289886,0.3630981093545327
3,0.4353282560351689,0.049959935031341336,0.5147118089334898,0.34608573758454375,0.4941340471268392,0.15978021528861702
4,0.45659848707695994,0.23962389989749516,0.30377761302554496,0.3650084855486511,0.5399103900563074,0.09508112439504146
5,0.3335165154785463,0.02003389261291997,0.6464495919085337,0.4581414666506759,0.21137042941115106,0.3304881039381729
6,0.3298730995711231,0.031450971056533224,0.6386759293723437,0.3708238492030688,0.2986927905570841,0.3304833602398472
7,0.32630260694183055,0.02025073619914591,0.6534466568590236,0.34766216348400175,0.30206965270012215,0.350268183815876
8,0.420102315580208,0.06544872390068224,0.5144489605191098,0.35585648534791847,0.35132983792257644,0.292813676729505
9,0.3798785291232919,0.060310672199354425,0.5598107986773537,0.3325391874014897,0.49188270817615043,0.17557810442235988
10,0.3454763116339433,0.25547198425556483,0.3990517041104918,0.3243536618655066,0.49965838098687726,0.17598795714761611
11,0.420102315580208,0.06544872390068224,0.5144489605191098,0.32877312852909385,0.3661016878987365,0.30512518357216967
12,0.420102315580208,0.06544872390068224,0.5144489605191098,0.32877312852909385,0.3661016878987365,0.30512518357216967
13,0.3371264438474,0.03111055087529552,0.6317630052773044,0.45814787698101295,0.21137338691309018,0.3304787361058968
14,0.4944507699897475,0.013542344783037301,0.4920068852272152,0.4139275455192596,0.3130741535880056,0.2729983008927348
